,,,,耗材/藥品庫存表,,,,,,,,,,,,,,,,,,,,,現在時間,2026/3/5 16:47,
分類,,,,,"安全
庫存",日期,,,,上月,,,,,,,,,,,本月,,,,60天內過期,2026/5/4 16:47,
請購,存放區,項目,細項,品名,數量,單位,規格,廠商,總量,大倉總量,有效期限,,,,,,,,,,本月大倉庫存總量,上月大倉使用量,盤點,提醒,最新效期,過期警示(期限低於60天),備註
請叫貨,,藥品,消毒用,滿碘,2,瓶,5 L/瓶,聖娜威莎,0,0,2020/2/1,,,,,,,,,,0,0,,,2020/2/1,已過期或即將過期,
-,,藥品,消毒用,廣衛,2,包,1.25 kg/包,寶齡富錦生技,11,11,2024/7/6,,,,,,,,,,11,0,,,2024/7/6,已過期或即將過期,
-,,藥品,消毒用,藍特淨,2,瓶,5L/瓶,,19,19,2026/2/13,,,,,,,,,,19,0,,,2026/2/13,已過期或即將過期,
請叫貨,,藥品,驅蟲,Ivomec,3,瓶,100 ml/瓶,MERIAL,0,0,2022/6/1,,,,,,,,,,0,0,,,2022/6/1,已過期或即將過期,
-,,藥品,消毒用,南亞滴克靈,2,桶,5L/桶，4桶/箱,,8,8,2028/6/3,,,,,,,,,,8,0,,,2028/6/3, ,
請叫貨,,藥品,血糖用品,優泌樂筆-混和型50,5,支,5支/盒,,0,0,2019/10/2,,,,,,,,,,0,0,,,2019/10/2,已過期或即將過期,
-,,藥品,顯影劑,易立顯350注射液,5,瓶,10/盒 100ml/瓶,,11,11,2024/8/31,,,,,,,,,,11,0,,,2024/8/31,已過期或即將過期,
-,,藥品,止痛藥,ketorolac(抑痛能),50,瓶,100瓶/盒,東洲化學製藥,470,510,2027/5/30,2026/3/5,-40,,,,,,,,470,-40,,,2027/5/30, ,
-,,藥品,其他,95％酒精,0.5,桶,20 L/桶 ,景明化工,1,1,2028/1/13,,,,,,,,,,1,0,,,2028/1/13, ,
-,,藥品,其他,牛油,12,Kg,16 Kg/個,SIGMA,15,15,2020/4/14,,,,,,,,,,15,0,,,2020/4/14,已過期或即將過期,
-,,少用,PCV,中央靜脈導管,10,組,,,408,408,,,,,,,,,,,408,0,,,, ,
-,,少用,PCV,puncture needle(未滅菌),1,包,,,1.5,1.5,,,,,,,,,,,1.5,0,,,, ,
請叫貨,,少用,呼吸管,3L 呼吸袋,1,個,,,0,0,,,,,,,,,,,0,0,,,, ,
-,,少用,呼吸管,呼吸連接管,1,條,,,8,8,,,,,,,,,,,8,0,,,, ,
-,,少用,呼吸管,呼吸管(白),1,條,,,5,5,,,,,,,,,,,5,0,,,, ,
-,,少用,呼吸管,呼吸管(藍),1,條,,,2,2,,,,,,,,,,,2,0,,,, ,
-,,少用,呼吸管,呼吸管(黑),1,條,,,6,6,,,,,,,,,,,6,0,,,, ,
-,,少用,呼吸管,雙層呼吸管,1,條,,,4,4,,,,,,,,,,,4,0,,,, ,
-,,少用,呼吸管,愷得呼吸管路組,1,條,,,2,2,,,,,,,,,,,2,0,,,, ,
請叫貨,,少用,導尿管,8號導尿管,5,條,10 pcs/盒,Anderson,0,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,少用,導尿管,10號導尿管,5,條,10 pcs/盒,Anderson,0,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,少用,導尿管,12號導尿管,5,條,10 pcs/盒,Anderson,0,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,少用,導尿管,14號導尿管,5,條,10 pcs/盒,Anderson,0,0,,,,,,,,,,,0,0,,,, ,
-,,少用,導尿管,導尿管,10,條,10 pcs/盒,博斯林,140,140,2014/12/17,,,,,,,,,,140,0,,,2014/12/17,已過期或即將過期,
-,,少用,電刀,電刀,10,個,,,54,54,2022/9/2,,,,,,,,,,54,0,,,2022/9/2,已過期或即將過期,
-,,少用,電刀,電燒線,3,條,1條/包,升望,7,7,2022/7/30,,,,,,,,,,7,0,,,2022/7/30,已過期或即將過期,
-,,耗材,電刀,電刀菜瓜布,10,片,100片/包,太平洋,80,80,2027/12/5,,,,,,,,,,80,0,,,2027/12/5, ,
-,,少用,其他,Formaldehyde福馬林,0.5,瓶,20 L/瓶,SIGMA,1,1,2027/6/24,,,,,,,,,,1,0,,,2027/6/24, ,
-,,少用,其他,Leica 脫鈣液,3,瓶,1 L/瓶,Leica ,6,6,2017/3/24,,,,,,,,,,6,0,,,2017/3/24,已過期或即將過期,
請叫貨,,少用,其他,NaOH,1,瓶,500 g/瓶,日本試藥,0,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,少用,其他,hemo-pad,1,包,,Coreleader,0,0,2014/7/1,,,,,,,,,,0,0,,,2014/7/1,已過期或即將過期,
請叫貨,,少用,其他,已滅菌夾鏈袋,3,個,,,0,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,耗材,藥水,CBC試劑 Lyse(黃),1,桶,1.9L/桶,EXIGO,1,1,2027/5/12,,,,,,,,,,1,0,,,2027/5/12, ,
請叫貨,,耗材,藥水,CBC試劑 Cleaner(藍),1,桶,1.9L/桶,EXIGO,1,1,2027/7/14,,,,,,,,,,1,0,,,2027/7/14, ,
請叫貨,,耗材,藥水,CBC試劑 EOS(綠),1,桶,1.9L/桶,EXIGO,0,0,2027/5/28,,,,,,,,,,0,0,,,2027/5/28, ,
請叫貨,,耗材,藥水,CBC試劑 Diluent(紅),1,桶,10L/桶,EXIGO,0,1,2027/11/24,2026/3/5,-1,,,,,,,,0,-1,,,2027/11/24, ,
-,,耗材,罐子,梅子罐（小）,5,個,,,11,11,,,,,,,,,,,11,0,,,, ,
請叫貨,,耗材,罐子,梅子罐(中),5,個,,,4,4,,,,,,,,,,,4,0,,,, ,
-,,耗材,罐子,醬菜瓶（玻璃罐）,3,個,,,4,4,,,,,,,,,,,4,0,,,, ,
-,,耗材,罐子,3L罐子,3,個,,,6,6,,,,,,,,,,,6,0,,,, ,
-,,耗材,罐子,4L罐子,3,個,,,6,6,,,,,,,,,,,6,0,,,, ,
-,,耗材,罐子,5L罐子,3,個,,,14,14,,,,,,,,,,,14,0,,,, ,
請叫貨,,藥品,藥水,克菌寧潔淨液0.5%,2,瓶,1L/瓶，10瓶/箱,寶齡富錦生技,0,0,2023/4/19,,,,,,,,,,0,0,,,2023/4/19,已過期或即將過期,
-,,耗材,縫線,Prolene 6-0 圓針 (8706H),1,條,13mm 3/8c,ETHICON,16,16,2026/4/30,,,,,,,,,,16,0,,,2026/4/30,已過期或即將過期,
-,,藥品,止痛藥,voren,100,瓶,100安瓶/盒，3 ml/安瓶,永信藥品,357,357,2021/11/1,,,,,,,,,,357,0,,,2021/11/1,已過期或即將過期,
-,,耗材,縫線," Ethibond Excel Polyster 
5 角針(W4846)",1,條,55mm，12個/盒,ETHICON,12,12,2022/5/31,,,,,,,,,,12,0,,,2022/5/31,已過期或即將過期,
-,,耗材,滅菌袋,消毒管袋 6〞,1,捲,6〞(15cm)/捲,太平洋,31,31,2027/12/1,,,,,,,,,,31,0,,,2027/12/1, ,
-,,耗材,滅菌袋,消毒管袋 12〞,1,捲,12〞/捲,太平洋,19,19,2028/2/1,,,,,,,,,,19,0,,,2028/2/1, ,
-,,藥品,抗組織胺,治鼻敏錠(4毫克),100,顆,1000顆/罐,榮民,950,950,2024/3/16,,,,,,,,,,950,0,,,2024/3/16,已過期或即將過期,
-,,耗材,IV用,Sigma IV Bag,1,個,,Sigma,37,37,,,,,,,,,,,37,0,,,, ,
-,,耗材,IV用,怡安 IV Bag,1,個,,怡安,50,50,,,,,,,,,,,50,0,,,, ,
-,,耗材,其他,無菌保護套(PC3002),10,個,21cm*60cm,宇仁,100,100,,,,,,,,,,,100,0,,,, ,
-,,耗材,其他,81孔冷凍檢體紙盒,5,個,,,48,48,,,,,,,,,,,48,0,,,, ,
請叫貨,,,,,,,,,0,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,耗材,其他,導電膠,0.5,瓶,5L/瓶,CG955,0,0,2005/9/24,,,,,,,,,,0,0,,,2005/9/24,已過期或即將過期,
請叫貨,,藥品,抗凝血,Sodium Heparin (5000U/ml),5,瓶,10瓶/盒，5 ml/瓶,菲尼斯,0,0,2022/2/25,,,,,,,,,,0,0,,,2022/2/25,已過期或即將過期,
-,,耗材,針頭,19G 蝴蝶針,5,個,,Nipro,8,8,,,,,,,,,,,8,8,,,, ,
-,,耗材,導尿管,"""太平洋"" 10號導尿管",5,條,1條/包,太平洋,10,10,2026/3/1,,,,,,,,,,10,10,,,2026/3/1,已過期或即將過期,
請叫貨,,耗材,導尿管,"""太平洋"" 8號導尿管",5,條,1條/包,太平洋,5,5,2026/6/1,,,,,,,,,,5,5,,,2026/6/1, ,
-,,少用,電刀,雙極電燒線,5,條,1條/包,,20,20,2027/2/22,,,,,,,,,,20,20,,,2027/2/22, ,
請叫貨,,少用,電刀,電刀用鑷子195mm*1.0mm(藍),5,支,1支/盒,,3,3,2027/4/11,,,,,,,,,,3,3,,,2027/4/11, ,
請叫貨,,少用,電刀,電刀用鑷子240mm*1.0mm(藍),5,支,1支/盒,,2,2,2027/4/14,,,,,,,,,,2,2,,,2027/4/14, ,
請叫貨,,少用,電刀,電刀用鑷子140mm*0.6mm(黑),5,支,1支/盒,,2,2,2027/4/15,,,,,,,,,,2,2,,,2027/4/15, ,
請叫貨,,少用,電刀,電刀用鑷子220mm*0.6mm(黑),5,支,1支/盒,,4,4,1900/1/0,,,,,,,,,,4,4,,,1900/1/0,已過期或即將過期,
-,,耗材,採血袋, 採血袋(CPDA-1)(500ml),8,個,8個/袋,JMS,40,40,2027/12/31,,,,,,,,,,40,40,,,2027/12/31, ,
-,,藥品,抗生素,金威讚-F,5,包,1kg/包,永鴻,18,18,2027/2/11,,,,,,,,,,18,18,,,2027/2/11, ,
請叫貨,,,,,,,,,0,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,0,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,,,,,,,,,0,,,,,,,,,,,0,0,,,, ,
