,,,,耗材/藥品庫存表,,,,,,,,,,,,,,,,,,,,,現在時間,2026/3/5 16:47,
分類,,,,,"安全
庫存",日期,,,,上月,,,,,,,,,,,本月,,,,60天內過期,2026/5/4 16:47,
請購,存放區,項目,細項,品名,數量,單位,規格,廠商,總量,大倉總量,有效期限,,,,,,,,,,本月大倉庫存總量,上月大倉使用量,盤點,提醒,最新效期,過期警示(期限低於60天),備註
-,,耗材,針頭,25G 1/ 1/2 needle,1,盒,100支/盒,BD,80,80,2028/7/31,,,,,,,,,,80,0,,,2028/7/31, ,
-,,耗材,針頭,"23G 1 1/4""needle",50,盒,100支/盒,TOP ,180,180,2028/11/30,,,,,,,,,,180,0,,,2028/11/30, ,
-,,耗材,留置針,14 G 留置針 (2.5 in),15,支,"14 G*2.5""，50支/盒",TERUMO,300,300,2026/8/31,,,,,,,,,,300,0,,,2026/8/31, ,
-,,耗材,留置針,20 G 留置針 (1.16 in),15,支,"20 G*1.16""，50支/盒",TERUMO,25,25,2019/1/1,,,,,,,,,,25,0,,,2019/1/1,已過期或即將過期,
-,,耗材,留置針,20G留置針 (1.25 in),15,支,"20 G*1.25""，50支/盒",TERUMO,50,50,2003/12/1,,,,,,,,,,50,0,,,2003/12/1,已過期或即將過期,
-,,耗材,留置針,20 G 留置針 (2 in),15,支,"20 G*2""，50支/盒",TERUMO,30,30,2020/7/1,,,,,,,,,,30,0,,,2020/7/1,已過期或即將過期,
-,,耗材,留置針,22 G 留置針 (1 in),25,支,"22 G*1""，50支/盒",TERUMO,50,50,2028/11/30,,,,,,,,,,50,0,,,2028/11/30, ,
請叫貨,,耗材,OP SITE,OP site (6*7),50,片,100片/盒,3M,50,100,2028/5/25,2026/3/2,-50,,,,,,,,50,-50,,,2028/5/25, ,
請叫貨,,耗材,OP SITE,OP site (10*12),50,片,50片/盒,3M,50,50,2027/9/26,,,,,,,,,,50,0,,,2027/9/26, ,
-,,耗材,採血管,NaF(灰頭),50,支,100支/盒,BD,155,173,2024/7/31,2026/3/5,-18,,,,,,,,155,-18,,,2024/7/31,已過期或即將過期,
